,Input1,Input2,Target,Alpha
0,z0/mcf-z-stacks-03212011_e20_s1_w2.tif,z16/mcf-z-stacks-03212011_e20_s1_w2.tif,z8/mcf-z-stacks-03212011_e20_s1_w2.tif,0.5
1,z0/mcf-z-stacks-03212011_e20_s2_w2.tif,z16/mcf-z-stacks-03212011_e20_s2_w2.tif,z8/mcf-z-stacks-03212011_e20_s2_w2.tif,0.5
2,z0/mcf-z-stacks-03212011_e21_s1_w2.tif,z16/mcf-z-stacks-03212011_e21_s1_w2.tif,z8/mcf-z-stacks-03212011_e21_s1_w2.tif,0.5
3,z0/mcf-z-stacks-03212011_e21_s2_w2.tif,z16/mcf-z-stacks-03212011_e21_s2_w2.tif,z8/mcf-z-stacks-03212011_e21_s2_w2.tif,0.5
4,z0/mcf-z-stacks-03212011_e22_s1_w2.tif,z16/mcf-z-stacks-03212011_e22_s1_w2.tif,z8/mcf-z-stacks-03212011_e22_s1_w2.tif,0.5
5,z0/mcf-z-stacks-03212011_e22_s2_w2.tif,z16/mcf-z-stacks-03212011_e22_s2_w2.tif,z8/mcf-z-stacks-03212011_e22_s2_w2.tif,0.5
6,z0/mcf-z-stacks-03212011_e23_s1_w2.tif,z16/mcf-z-stacks-03212011_e23_s1_w2.tif,z8/mcf-z-stacks-03212011_e23_s1_w2.tif,0.5
7,z0/mcf-z-stacks-03212011_e23_s2_w2.tif,z16/mcf-z-stacks-03212011_e23_s2_w2.tif,z8/mcf-z-stacks-03212011_e23_s2_w2.tif,0.5
8,z0/mcf-z-stacks-03212011_e24_s1_w2.tif,z16/mcf-z-stacks-03212011_e24_s1_w2.tif,z8/mcf-z-stacks-03212011_e24_s1_w2.tif,0.5
9,z0/mcf-z-stacks-03212011_e24_s2_w2.tif,z16/mcf-z-stacks-03212011_e24_s2_w2.tif,z8/mcf-z-stacks-03212011_e24_s2_w2.tif,0.5
10,z0/mcf-z-stacks-03212011_f01_s1_w2.tif,z16/mcf-z-stacks-03212011_f01_s1_w2.tif,z8/mcf-z-stacks-03212011_f01_s1_w2.tif,0.5
11,z0/mcf-z-stacks-03212011_f01_s2_w2.tif,z16/mcf-z-stacks-03212011_f01_s2_w2.tif,z8/mcf-z-stacks-03212011_f01_s2_w2.tif,0.5
12,z0/mcf-z-stacks-03212011_f02_s1_w2.tif,z16/mcf-z-stacks-03212011_f02_s1_w2.tif,z8/mcf-z-stacks-03212011_f02_s1_w2.tif,0.5
13,z0/mcf-z-stacks-03212011_f02_s2_w2.tif,z16/mcf-z-stacks-03212011_f02_s2_w2.tif,z8/mcf-z-stacks-03212011_f02_s2_w2.tif,0.5
14,z0/mcf-z-stacks-03212011_f03_s1_w2.tif,z16/mcf-z-stacks-03212011_f03_s1_w2.tif,z8/mcf-z-stacks-03212011_f03_s1_w2.tif,0.5
15,z0/mcf-z-stacks-03212011_f03_s2_w2.tif,z16/mcf-z-stacks-03212011_f03_s2_w2.tif,z8/mcf-z-stacks-03212011_f03_s2_w2.tif,0.5
16,z0/mcf-z-stacks-03212011_f04_s1_w2.tif,z16/mcf-z-stacks-03212011_f04_s1_w2.tif,z8/mcf-z-stacks-03212011_f04_s1_w2.tif,0.5
17,z0/mcf-z-stacks-03212011_f04_s2_w2.tif,z16/mcf-z-stacks-03212011_f04_s2_w2.tif,z8/mcf-z-stacks-03212011_f04_s2_w2.tif,0.5
18,z0/mcf-z-stacks-03212011_f05_s1_w2.tif,z16/mcf-z-stacks-03212011_f05_s1_w2.tif,z8/mcf-z-stacks-03212011_f05_s1_w2.tif,0.5
19,z0/mcf-z-stacks-03212011_f05_s2_w2.tif,z16/mcf-z-stacks-03212011_f05_s2_w2.tif,z8/mcf-z-stacks-03212011_f05_s2_w2.tif,0.5
20,z0/mcf-z-stacks-03212011_f06_s1_w2.tif,z16/mcf-z-stacks-03212011_f06_s1_w2.tif,z8/mcf-z-stacks-03212011_f06_s1_w2.tif,0.5
21,z0/mcf-z-stacks-03212011_f06_s2_w2.tif,z16/mcf-z-stacks-03212011_f06_s2_w2.tif,z8/mcf-z-stacks-03212011_f06_s2_w2.tif,0.5
22,z0/mcf-z-stacks-03212011_f07_s1_w2.tif,z16/mcf-z-stacks-03212011_f07_s1_w2.tif,z8/mcf-z-stacks-03212011_f07_s1_w2.tif,0.5
23,z0/mcf-z-stacks-03212011_f07_s2_w2.tif,z16/mcf-z-stacks-03212011_f07_s2_w2.tif,z8/mcf-z-stacks-03212011_f07_s2_w2.tif,0.5
24,z0/mcf-z-stacks-03212011_f08_s1_w2.tif,z16/mcf-z-stacks-03212011_f08_s1_w2.tif,z8/mcf-z-stacks-03212011_f08_s1_w2.tif,0.5
25,z0/mcf-z-stacks-03212011_f08_s2_w2.tif,z16/mcf-z-stacks-03212011_f08_s2_w2.tif,z8/mcf-z-stacks-03212011_f08_s2_w2.tif,0.5
26,z0/mcf-z-stacks-03212011_f09_s1_w2.tif,z16/mcf-z-stacks-03212011_f09_s1_w2.tif,z8/mcf-z-stacks-03212011_f09_s1_w2.tif,0.5
27,z0/mcf-z-stacks-03212011_f09_s2_w2.tif,z16/mcf-z-stacks-03212011_f09_s2_w2.tif,z8/mcf-z-stacks-03212011_f09_s2_w2.tif,0.5
28,z0/mcf-z-stacks-03212011_f10_s1_w2.tif,z16/mcf-z-stacks-03212011_f10_s1_w2.tif,z8/mcf-z-stacks-03212011_f10_s1_w2.tif,0.5
29,z0/mcf-z-stacks-03212011_f10_s2_w2.tif,z16/mcf-z-stacks-03212011_f10_s2_w2.tif,z8/mcf-z-stacks-03212011_f10_s2_w2.tif,0.5
30,z0/mcf-z-stacks-03212011_f11_s1_w2.tif,z16/mcf-z-stacks-03212011_f11_s1_w2.tif,z8/mcf-z-stacks-03212011_f11_s1_w2.tif,0.5
31,z0/mcf-z-stacks-03212011_f11_s2_w2.tif,z16/mcf-z-stacks-03212011_f11_s2_w2.tif,z8/mcf-z-stacks-03212011_f11_s2_w2.tif,0.5
32,z0/mcf-z-stacks-03212011_f12_s1_w2.tif,z16/mcf-z-stacks-03212011_f12_s1_w2.tif,z8/mcf-z-stacks-03212011_f12_s1_w2.tif,0.5
33,z0/mcf-z-stacks-03212011_f12_s2_w2.tif,z16/mcf-z-stacks-03212011_f12_s2_w2.tif,z8/mcf-z-stacks-03212011_f12_s2_w2.tif,0.5
34,z0/mcf-z-stacks-03212011_f13_s1_w2.tif,z16/mcf-z-stacks-03212011_f13_s1_w2.tif,z8/mcf-z-stacks-03212011_f13_s1_w2.tif,0.5
35,z0/mcf-z-stacks-03212011_f13_s2_w2.tif,z16/mcf-z-stacks-03212011_f13_s2_w2.tif,z8/mcf-z-stacks-03212011_f13_s2_w2.tif,0.5
36,z0/mcf-z-stacks-03212011_f14_s1_w2.tif,z16/mcf-z-stacks-03212011_f14_s1_w2.tif,z8/mcf-z-stacks-03212011_f14_s1_w2.tif,0.5
37,z0/mcf-z-stacks-03212011_f14_s2_w2.tif,z16/mcf-z-stacks-03212011_f14_s2_w2.tif,z8/mcf-z-stacks-03212011_f14_s2_w2.tif,0.5
38,z0/mcf-z-stacks-03212011_f15_s1_w2.tif,z16/mcf-z-stacks-03212011_f15_s1_w2.tif,z8/mcf-z-stacks-03212011_f15_s1_w2.tif,0.5
39,z0/mcf-z-stacks-03212011_f15_s2_w2.tif,z16/mcf-z-stacks-03212011_f15_s2_w2.tif,z8/mcf-z-stacks-03212011_f15_s2_w2.tif,0.5
40,z0/mcf-z-stacks-03212011_f16_s1_w2.tif,z16/mcf-z-stacks-03212011_f16_s1_w2.tif,z8/mcf-z-stacks-03212011_f16_s1_w2.tif,0.5
41,z0/mcf-z-stacks-03212011_f16_s2_w2.tif,z16/mcf-z-stacks-03212011_f16_s2_w2.tif,z8/mcf-z-stacks-03212011_f16_s2_w2.tif,0.5
42,z0/mcf-z-stacks-03212011_f17_s1_w2.tif,z16/mcf-z-stacks-03212011_f17_s1_w2.tif,z8/mcf-z-stacks-03212011_f17_s1_w2.tif,0.5
43,z0/mcf-z-stacks-03212011_f17_s2_w2.tif,z16/mcf-z-stacks-03212011_f17_s2_w2.tif,z8/mcf-z-stacks-03212011_f17_s2_w2.tif,0.5
44,z0/mcf-z-stacks-03212011_f18_s1_w2.tif,z16/mcf-z-stacks-03212011_f18_s1_w2.tif,z8/mcf-z-stacks-03212011_f18_s1_w2.tif,0.5
45,z0/mcf-z-stacks-03212011_f18_s2_w2.tif,z16/mcf-z-stacks-03212011_f18_s2_w2.tif,z8/mcf-z-stacks-03212011_f18_s2_w2.tif,0.5
46,z0/mcf-z-stacks-03212011_f19_s1_w2.tif,z16/mcf-z-stacks-03212011_f19_s1_w2.tif,z8/mcf-z-stacks-03212011_f19_s1_w2.tif,0.5
47,z0/mcf-z-stacks-03212011_f19_s2_w2.tif,z16/mcf-z-stacks-03212011_f19_s2_w2.tif,z8/mcf-z-stacks-03212011_f19_s2_w2.tif,0.5
48,z0/mcf-z-stacks-03212011_f20_s1_w2.tif,z16/mcf-z-stacks-03212011_f20_s1_w2.tif,z8/mcf-z-stacks-03212011_f20_s1_w2.tif,0.5
49,z0/mcf-z-stacks-03212011_f20_s2_w2.tif,z16/mcf-z-stacks-03212011_f20_s2_w2.tif,z8/mcf-z-stacks-03212011_f20_s2_w2.tif,0.5
50,z0/mcf-z-stacks-03212011_f21_s1_w2.tif,z16/mcf-z-stacks-03212011_f21_s1_w2.tif,z8/mcf-z-stacks-03212011_f21_s1_w2.tif,0.5
51,z0/mcf-z-stacks-03212011_f21_s2_w2.tif,z16/mcf-z-stacks-03212011_f21_s2_w2.tif,z8/mcf-z-stacks-03212011_f21_s2_w2.tif,0.5
52,z0/mcf-z-stacks-03212011_f22_s1_w2.tif,z16/mcf-z-stacks-03212011_f22_s1_w2.tif,z8/mcf-z-stacks-03212011_f22_s1_w2.tif,0.5
53,z0/mcf-z-stacks-03212011_f22_s2_w2.tif,z16/mcf-z-stacks-03212011_f22_s2_w2.tif,z8/mcf-z-stacks-03212011_f22_s2_w2.tif,0.5
54,z0/mcf-z-stacks-03212011_f23_s1_w2.tif,z16/mcf-z-stacks-03212011_f23_s1_w2.tif,z8/mcf-z-stacks-03212011_f23_s1_w2.tif,0.5
55,z0/mcf-z-stacks-03212011_f23_s2_w2.tif,z16/mcf-z-stacks-03212011_f23_s2_w2.tif,z8/mcf-z-stacks-03212011_f23_s2_w2.tif,0.5
56,z0/mcf-z-stacks-03212011_f24_s1_w2.tif,z16/mcf-z-stacks-03212011_f24_s1_w2.tif,z8/mcf-z-stacks-03212011_f24_s1_w2.tif,0.5
57,z0/mcf-z-stacks-03212011_f24_s2_w2.tif,z16/mcf-z-stacks-03212011_f24_s2_w2.tif,z8/mcf-z-stacks-03212011_f24_s2_w2.tif,0.5
58,z0/mcf-z-stacks-03212011_g01_s1_w2.tif,z16/mcf-z-stacks-03212011_g01_s1_w2.tif,z8/mcf-z-stacks-03212011_g01_s1_w2.tif,0.5
59,z0/mcf-z-stacks-03212011_g01_s2_w2.tif,z16/mcf-z-stacks-03212011_g01_s2_w2.tif,z8/mcf-z-stacks-03212011_g01_s2_w2.tif,0.5
60,z0/mcf-z-stacks-03212011_g02_s1_w2.tif,z16/mcf-z-stacks-03212011_g02_s1_w2.tif,z8/mcf-z-stacks-03212011_g02_s1_w2.tif,0.5
61,z0/mcf-z-stacks-03212011_g02_s2_w2.tif,z16/mcf-z-stacks-03212011_g02_s2_w2.tif,z8/mcf-z-stacks-03212011_g02_s2_w2.tif,0.5
62,z0/mcf-z-stacks-03212011_g03_s1_w2.tif,z16/mcf-z-stacks-03212011_g03_s1_w2.tif,z8/mcf-z-stacks-03212011_g03_s1_w2.tif,0.5
63,z0/mcf-z-stacks-03212011_g03_s2_w2.tif,z16/mcf-z-stacks-03212011_g03_s2_w2.tif,z8/mcf-z-stacks-03212011_g03_s2_w2.tif,0.5
64,z0/mcf-z-stacks-03212011_g04_s1_w2.tif,z16/mcf-z-stacks-03212011_g04_s1_w2.tif,z8/mcf-z-stacks-03212011_g04_s1_w2.tif,0.5
65,z0/mcf-z-stacks-03212011_g04_s2_w2.tif,z16/mcf-z-stacks-03212011_g04_s2_w2.tif,z8/mcf-z-stacks-03212011_g04_s2_w2.tif,0.5
66,z0/mcf-z-stacks-03212011_g05_s1_w2.tif,z16/mcf-z-stacks-03212011_g05_s1_w2.tif,z8/mcf-z-stacks-03212011_g05_s1_w2.tif,0.5
67,z0/mcf-z-stacks-03212011_g05_s2_w2.tif,z16/mcf-z-stacks-03212011_g05_s2_w2.tif,z8/mcf-z-stacks-03212011_g05_s2_w2.tif,0.5
68,z0/mcf-z-stacks-03212011_g06_s1_w2.tif,z16/mcf-z-stacks-03212011_g06_s1_w2.tif,z8/mcf-z-stacks-03212011_g06_s1_w2.tif,0.5
69,z0/mcf-z-stacks-03212011_g06_s2_w2.tif,z16/mcf-z-stacks-03212011_g06_s2_w2.tif,z8/mcf-z-stacks-03212011_g06_s2_w2.tif,0.5
70,z0/mcf-z-stacks-03212011_g07_s1_w2.tif,z16/mcf-z-stacks-03212011_g07_s1_w2.tif,z8/mcf-z-stacks-03212011_g07_s1_w2.tif,0.5
71,z0/mcf-z-stacks-03212011_g07_s2_w2.tif,z16/mcf-z-stacks-03212011_g07_s2_w2.tif,z8/mcf-z-stacks-03212011_g07_s2_w2.tif,0.5
72,z0/mcf-z-stacks-03212011_g08_s1_w2.tif,z16/mcf-z-stacks-03212011_g08_s1_w2.tif,z8/mcf-z-stacks-03212011_g08_s1_w2.tif,0.5
